Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
LE07_CU_006013_20170103_20181128_C01_V01,2017/01/03,CU,6,13,2018/11/28,91.9433,2.7145,0.0013,45.2367,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LE07_CU_006013_20170103_20181128_C01_V01,LE07_CU_006013_20170103_C01_V01
LE07_CU_006014_20170103_20181128_C01_V01,2017/01/03,CU,6,14,2018/11/28,71.5963,3.0032,0.0007,82.218,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20170103_20181128_C01_V01,LE07_CU_006014_20170103_C01_V01
LC08_CU_006013_20170104_20190430_C01_V01,2017/01/04,CU,6,13,2019/04/30,0.4559,0.206,0,36.0279,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170104_20190430_C01_V01,LC08_CU_006013_20170104_C01_V01
LC08_CU_006014_20170104_20190430_C01_V01,2017/01/04,CU,6,14,2019/04/30,9.729,6.4113,0.0001,2.6144,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170104_20190430_C01_V01,LC08_CU_006014_20170104_C01_V01
LC08_CU_007013_20170104_20181204_C01_V01,2017/01/04,CU,7,13,2018/12/04,0.381,0.1051,0.1096,30.2889,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170104_20181204_C01_V01,LC08_CU_007013_20170104_C01_V01
LC08_CU_007014_20170104_20190430_C01_V01,2017/01/04,CU,7,14,2019/04/30,7.817,3.8016,0,72.2665,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20170104_20190430_C01_V01,LC08_CU_007014_20170104_C01_V01
LE07_CU_006014_20170105_20181123_C01_V01,2017/01/05,CU,6,14,2018/11/23,0.198,0,0,94.5727,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20170105_20181123_C01_V01,LE07_CU_006014_20170105_C01_V01
LE07_CU_007013_20170105_20181128_C01_V01,2017/01/05,CU,7,13,2018/11/28,22.672,2.7398,0.0308,49.6915,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LE07_CU_007013_20170105_20181128_C01_V01,LE07_CU_007013_20170105_C01_V01
LE07_CU_007014_20170105_20181128_C01_V01,2017/01/05,CU,7,14,2018/11/28,0.9595,0.3192,0.0179,20.5358,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20170105_20181128_C01_V01,LE07_CU_007014_20170105_C01_V01
LC08_CU_007014_20170106_20181128_C01_V01,2017/01/06,CU,7,14,2018/11/28,34.5459,14.9683,0.0156,93.9422,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20170106_20181128_C01_V01,LC08_CU_007014_20170106_C01_V01
