,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
2,LC08_CU_006013_20170104_20190430_C01_V01,2017/01/04,CU,6,13,2019/04/30,0.4559,0.20600000000000002,0.0,36.0279,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170104_20190430_C01_V01,LC08_CU_006013_20170104_C01_V01
3,LC08_CU_006014_20170104_20190430_C01_V01,2017/01/04,CU,6,14,2019/04/30,9.729,6.4113,0.0001,2.6144,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170104_20190430_C01_V01,LC08_CU_006014_20170104_C01_V01
4,LC08_CU_007013_20170104_20181204_C01_V01,2017/01/04,CU,7,13,2018/12/04,0.381,0.1051,0.1096,30.2889,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170104_20181204_C01_V01,LC08_CU_007013_20170104_C01_V01
5,LC08_CU_007014_20170104_20190430_C01_V01,2017/01/04,CU,7,14,2019/04/30,7.817,3.8016,0.0,72.2665,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170104_20190430_C01_V01,LC08_CU_007014_20170104_C01_V01
9,LC08_CU_007014_20170106_20181128_C01_V01,2017/01/06,CU,7,14,2018/11/28,34.5459,14.9683,0.0156,93.9422,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170106_20181128_C01_V01,LC08_CU_007014_20170106_C01_V01
10,LC08_CU_006013_20170111_20190430_C01_V01,2017/01/11,CU,6,13,2019/04/30,69.3917,3.5527,0.0011,30.7627,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170111_20190430_C01_V01,LC08_CU_006013_20170111_C01_V01
11,LC08_CU_006014_20170111_20190430_C01_V01,2017/01/11,CU,6,14,2019/04/30,75.138,6.6143,0.2341,74.7294,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170111_20190430_C01_V01,LC08_CU_006014_20170111_C01_V01
16,LC08_CU_006014_20170113_20181201_C01_V01,2017/01/13,CU,6,14,2018/12/01,100.0,0.0,0.0,92.8645,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170113_20181201_C01_V01,LC08_CU_006014_20170113_C01_V01
17,LC08_CU_007013_20170113_20181209_C01_V01,2017/01/13,CU,7,13,2018/12/09,99.4297,0.5291,0.1025,36.6469,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170113_20181209_C01_V01,LC08_CU_007013_20170113_C01_V01
18,LC08_CU_007014_20170113_20181209_C01_V01,2017/01/13,CU,7,14,2018/12/09,90.7978,2.2266,5.7838,3.3710000000000004,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170113_20181209_C01_V01,LC08_CU_007014_20170113_C01_V01
